|원형|현재형|과거형|과거분사형|현재분사형|
|abandon|abandons|abandoned|abandoned|abandoning|
|absorb|absorbs|absorbed|absorbed|absorbing|
|abuse|abuses|abused|abused|abusing|
|access|accesses|accessed|accessed|accessing|
|accompany|accompanies|accompanied|accompanied|accompanying|
|accomplish|accomplishes|accomplished|accomplished|accomplishing|
|account|accounts|accounted|accounted|accounting|
|accuse|accuses|accused|accused|accusing|
|achieve|achieves|achieved|achieved|achieving|
|acknowledge|acknowledges|acknowledged|acknowledged|acknowledging|
|acquire|acquires|acquired|acquired|acquiring|
|act|acts|acted|acted|acting|
|adapt|adapts|adapted|adapted|adapting|
|add|adds|added|added|adding|
|address|addresses|addressed|addressed|addressing|
|adjust|adjusts|adjusted|adjusted|adjusting|
|admire|admires|admired|admired|admiring|
|admit|admits|admitted|admitted|admitting|
|adopt|adopts|adopted|adopted|adopting|
|advance|advances|advanced|advanced|advancing|
|advertise|advertises|advertised|advertised|advertising|
|advise|advises|advised|advised|advising|
|affect|affects|affected|affected|affecting|
|afford|affords|afforded|afforded|affording|
|agree|agrees|agreed|agreed|agreeing|
|aim|aims|aimed|aimed|aiming|
|alert|alerts|alerted|alerted|alerting|
|allocate|allocates|allocated|allocated|allocating|
|allow|allows|allowed|allowed|allowing|
|alter|alters|altered|altered|altering|
|amaze|amazes|amazed|amazed|amazing|
|amend|amends|amended|amended|amending|
|analyze|analyzes|analyzed|analyzed|analyzing|
|announce|announces|announced|announced|announcing|
|annoy|annoys|annoyed|annoyed|annoying|
|answer|answers|answered|answered|answering|
|anticipate|anticipates|anticipated|anticipated|anticipating|
|apologize|apologizes|apologized|apologized|apologizing|
|appeal|appeals|appealed|appealed|appealing|
|appear|appears|appeared|appeared|appearing|
|applaud|applauds|applauded|applauded|applauding|
|apply|applies|applied|applied|applying|
|appoint|appoints|appointed|appointed|appointing|
|appreciate|appreciates|appreciated|appreciated|appreciating|
|approach|approaches|approached|approached|approaching|
|approve|approves|approved|approved|approving|
|argue|argues|argued|argued|arguing|
|arise|arises|arose|arisen|arising|
|arrange|arranges|arranged|arranged|arranging|
|arrest|arrests|arrested|arrested|arresting|
|arrive|arrives|arrived|arrived|arriving|
|articulate|articulates|articulated|articulated|articulating|
|ask|asks|asked|asked|asking|
|assert|asserts|asserted|asserted|asserting|
|assess|assesses|assessed|assessed|assessing|
|assign|assigns|assigned|assigned|assigning|
|assist|assists|assisted|assisted|assisting|
|associate|associates|associated|associated|associating|
|assume|assumes|assumed|assumed|assuming|
|assure|assures|assured|assured|assuring|
|astonish|astonishes|astonished|astonished|astonishing|
|attach|attaches|attached|attached|attaching|
|attack|attacks|attacked|attacked|attacking|
|attain|attains|attained|attained|attaining|
|attempt|attempts|attempted|attempted|attempting|
|attend|attends|attended|attended|attending|
|attract|attracts|attracted|attracted|attracting|
|attribute|attributes|attributed|attributed|attributing|
|authorize|authorizes|authorized|authorized|authorizing|
|avoid|avoids|avoided|avoided|avoiding|
|awake|awakes|awoke|awoken|awaking|
|award|awards|awarded|awarded|awarding|
|back|backs|backed|backed|backing|
|bake|bakes|baked|baked|baking|
|balance|balances|balanced|balanced|balancing|
|ban|bans|banned|banned|banning|
|base|bases|based|based|basing|
|bathe|bathes|bathed|bathed|bathing|
|be|is/am/are|was/were|been|being|
|bear|bears|bore|borne/born|bearing|
|beat|beats|beat|beaten|beating|
|become|becomes|became|become|becoming|
|begin|begins|began|begun|beginning|
|behave|behaves|behaved|behaved|behaving|
|believe|believes|believed|believed|believing|
|belong|belongs|belonged|belonged|belonging|
|benefit|benefits|benefited|benefited|benefiting|
|bet|bets|bet|bet|betting|
|betray|betrays|betrayed|betrayed|betraying|
|bid|bids|bid|bid|bidding|
|bind|binds|bound|bound|binding|
|bite|bites|bit|bitten|biting|
|blame|blames|blamed|blamed|blaming|
|bless|blesses|blessed|blessed|blessing|
|blow|blows|blew|blown|blowing|
|board|boards|boarded|boarded|boarding|
|boast|boasts|boasted|boasted|boasting|
|boil|boils|boiled|boiled|boiling|
|book|books|booked|booked|booking|
|bore|bores|bored|bored|boring|
|borrow|borrows|borrowed|borrowed|borrowing|
|bother|bothers|bothered|bothered|bothering|
|bounce|bounces|bounced|bounced|bouncing|
|bow|bows|bowed|bowed|bowing|
|break|breaks|broke|broken|breaking|
|breathe|breathes|breathed|breathed|breathing|
|breed|breeds|bred|bred|breeding|
|bring|brings|brought|brought|bringing|
|broadcast|broadcasts|broadcast|broadcast|broadcasting|
|brush|brushes|brushed|brushed|brushing|
|build|builds|built|built|building|
|burn|burns|burned/burnt|burned/burnt|burning|
|burst|bursts|burst|burst|bursting|
|bury|buries|buried|buried|burying|
|buy|buys|bought|bought|buying|
|calculate|calculates|calculated|calculated|calculating|
|call|calls|called|called|calling|
|calm|calms|calmed|calmed|calming|
|campaign|campaigns|campaigned|campaigned|campaigning|
|camp|camps|camped|camped|camping|
|cancel|cancels|canceled|canceled|canceling|
|capture|captures|captured|captured|capturing|
|care|cares|cared|cared|caring|
|carry|carries|carried|carried|carrying|
|carve|carves|carved|carved|carving|
|cast|casts|cast|cast|casting|
|catch|catches|caught|caught|catching|
|categorize|categorizes|categorized|categorized|categorizing|
|cause|causes|caused|caused|causing|
|caution|cautions|cautioned|cautioned|cautioning|
|celebrate|celebrates|celebrated|celebrated|celebrating|
|challenge|challenges|challenged|challenged|challenging|
|change|changes|changed|changed|changing|
|charge|charges|charged|charged|charging|
|chase|chases|chased|chased|chasing|
|chat|chats|chatted|chatted|chatting|
|check|checks|checked|checked|checking|
|cheer|cheers|cheered|cheered|cheering|
|choose|chooses|chose|chosen|choosing|
|chop|chops|chopped|chopped|chopping|
|claim|claims|claimed|claimed|claiming|
|clarify|clarifies|clarified|clarified|clarifying|
|classify|classifies|classified|classified|classifying|
|clean|cleans|cleaned|cleaned|cleaning|
|clear|clears|cleared|cleared|clearing|
|click|clicks|clicked|clicked|clicking|
|climb|climbs|climbed|climbed|climbing|
|cling|clings|clung|clung|clinging|
|close|closes|closed|closed|closing|
|coach|coaches|coached|coached|coaching|
|collaborate|collaborates|collaborated|collaborated|collaborating|
|collect|collects|collected|collected|collecting|
|combine|combines|combined|combined|combining|
|come|comes|came|come|coming|
|command|commands|commanded|commanded|commanding|
|comment|comments|commented|commented|commenting|
|commit|commits|committed|committed|committing|
|communicate|communicates|communicated|communicated|communicating|
|compare|compares|compared|compared|comparing|
|compete|competes|competed|competed|competing|
|complain|complains|complained|complained|complaining|
|complete|completes|completed|completed|completing|
|compose|composes|composed|composed|composing|
|comprehend|comprehends|comprehended|comprehended|comprehending|
|comprise|comprises|comprised|comprised|comprising|
|compromise|compromises|compromised|compromised|compromising|
|concentrate|concentrates|concentrated|concentrated|concentrating|
|concern|concerns|concerned|concerned|concerning|
|conclude|concludes|concluded|concluded|concluding|
|condemn|condemns|condemned|condemned|condemning|
|conduct|conducts|conducted|conducted|conducting|
|confess|confesses|confessed|confessed|confessing|
|confide|confides|confided|confided|confiding|
|confirm|confirms|confirmed|confirmed|confirming|
|confront|confronts|confronted|confronted|confronting|
|confuse|confuses|confused|confused|confusing|
|congratulate|congratulates|congratulated|congratulated|congratulating|
|connect|connects|connected|connected|connecting|
|consent|consents|consented|consented|consenting|
|consider|considers|considered|considered|considering|
|consist|consists|consisted|consisted|consisting|
|consult|consults|consulted|consulted|consulting|
|consume|consumes|consumed|consumed|consuming|
|contact|contacts|contacted|contacted|contacting|
|contain|contains|contained|contained|containing|
|contemplate|contemplates|contemplated|contemplated|contemplating|
|continue|continues|continued|continued|continuing|
|contract|contracts|contracted|contracted|contracting|
|contradict|contradicts|contradicted|contradicted|contradicting|
|contribute|contributes|contributed|contributed|contributing|
|control|controls|controlled|controlled|controlling|
|convey|conveys|conveyed|conveyed|conveying|
|convince|convinces|convinced|convinced|convincing|
|cook|cooks|cooked|cooked|cooking|
|cool|cools|cooled|cooled|cooling|
|cooperate|cooperates|cooperated|cooperated|cooperating|
|cope|copes|coped|coped|coping|
|copy|copies|copied|copied|copying|
|correct|corrects|corrected|corrected|correcting|
|correspond|corresponds|corresponded|corresponded|corresponding|
|cost|costs|cost|cost|costing|
|cough|coughs|coughed|coughed|coughing|
|count|counts|counted|counted|counting|
|cover|covers|covered|covered|covering|
|crack|cracks|cracked|cracked|cracking|
|crash|crashes|crashed|crashed|crashing|
|crawl|crawls|crawled|crawled|crawling|
|create|creates|created|created|creating|
|credit|credits|credited|credited|crediting|
|creep|creeps|crept|crept|creeping|
|criticize|criticizes|criticized|criticized|criticizing|
|cross|crosses|crossed|crossed|crossing|
|cry|cries|cried|cried|crying|
|cultivate|cultivates|cultivated|cultivated|cultivating|
|cure|cures|cured|cured|curing|
|cut|cuts|cut|cut|cutting|
|damage|damages|damaged|damaged|damaging|
|dance|dances|danced|danced|dancing|
|dare|dares|dared|dared|daring|
|deal|deals|dealt|dealt|dealing|
|debate|debates|debated|debated|debating|
|decide|decides|decided|decided|deciding|
|declare|declares|declared|declared|declaring|
|decline|declines|declined|declined|declining|
|decorate|decorates|decorated|decorated|decorating|
|decrease|decreases|decreased|decreased|decreasing|
|dedicate|dedicates|dedicated|dedicated|dedicating|
|define|defines|defined|defined|defining|
|delay|delays|delayed|delayed|delaying|
|delegate|delegates|delegated|delegated|delegating|
|delete|deletes|deleted|deleted|deleting|
|deliberate|deliberates|deliberated|deliberated|deliberating|
|deliver|delivers|delivered|delivered|delivering|
|demand|demands|demanded|demanded|demanding|
|demonstrate|demonstrates|demonstrated|demonstrated|demonstrating|
|deny|denies|denied|denied|denying|
|depart|departs|departed|departed|departing|
|depend|depends|depended|depended|depending|
|depict|depicts|depicted|depicted|depicting|
|deposit|deposits|deposited|deposited|depositing|
|depress|depresses|depressed|depressed|depressing|
|derive|derives|derived|derived|deriving|
|describe|describes|described|described|describing|
|deserve|deserves|deserved|deserved|deserving|
|design|designs|designed|designed|designing|
|desire|desires|desired|desired|desiring|
|destroy|destroys|destroyed|destroyed|destroying|
|detail|details|detailed|detailed|detailing|
|detect|detects|detected|detected|detecting|
|determine|determines|determined|determined|determining|
|develop|develops|developed|developed|developing|
|devote|devotes|devoted|devoted|devoting|
|diagnose|diagnoses|diagnosed|diagnosed|diagnosing|
|die|dies|died|died|dying|
|differ|differs|differed|differed|differing|
|differentiate|differentiates|differentiated|differentiated|differentiating|
|dig|digs|dug|dug|digging|
|direct|directs|directed|directed|directing|
|disagree|disagrees|disagreed|disagreed|disagreeing|
|disappear|disappears|disappeared|disappeared|disappearing|
|disappoint|disappoints|disappointed|disappointed|disappointing|
|disapprove|disapproves|disapproved|disapproved|disapproving|
|discard|discards|discarded|discarded|discarding|
|discharge|discharges|discharged|discharged|discharging|
|discipline|disciplines|disciplined|disciplined|disciplining|
|disconnect|disconnects|disconnected|disconnected|disconnecting|
|discover|discovers|discovered|discovered|discovering|
|discuss|discusses|discussed|discussed|discussing|
|dislike|dislikes|disliked|disliked|disliking|
|dismiss|dismisses|dismissed|dismissed|dismissing|
|display|displays|displayed|displayed|displaying|
|dispose|disposes|disposed|disposed|disposing|
|dispute|disputes|disputed|disputed|disputing|
|disrupt|disrupts|disrupted|disrupted|disrupting|
|dissolve|dissolves|dissolved|dissolved|dissolving|
|distinguish|distinguishes|distinguished|distinguished|distinguishing|
|distribute|distributes|distributed|distributed|distributing|
|disturb|disturbs|disturbed|disturbed|disturbing|
|dive|dives|dived/dove|dived|diving|
|divide|divides|divided|divided|dividing|
|divorce|divorces|divorced|divorced|divorcing|
|do|does|did|done|doing|
|document|documents|documented|documented|documenting|
|donate|donates|donated|donated|donating|
|download|downloads|downloaded|downloaded|downloading|
|drag|drags|dragged|dragged|dragging|
|drain|drains|drained|drained|draining|
|draw|draws|drew|drawn|drawing|
|dream|dreams|dreamed/dreamt|dreamed/dreamt|dreaming|
|dress|dresses|dressed|dressed|dressing|
|drink|drinks|drank|drunk|drinking|
|drip|drips|dripped|dripped|dripping|
|drive|drives|drove|driven|driving|
|drop|drops|dropped|dropped|dropping|
|drown|drowns|drowned|drowned|drowning|
|dry|dries|dried|dried|drying|
|duplicate|duplicates|duplicated|duplicated|duplicating|
|dust|dusts|dusted|dusted|dusting|
|dwell|dwells|dwelt/dwelled|dwelt/dwelled|dwelling|
|earn|earns|earned|earned|earning|
|eat|eats|ate|eaten|eating|
|echo|echoes|echoed|echoed|echoing|
|edit|edits|edited|edited|editing|
|educate|educates|educated|educated|educating|
|effect|effects|effected|effected|effecting|
|elaborate|elaborates|elaborated|elaborated|elaborating|
|elect|elects|elected|elected|electing|
|elevate|elevates|elevated|elevated|elevating|
|eliminate|eliminates|eliminated|eliminated|eliminating|
|email|emails|emailed|emailed|emailing|
|embarrass|embarrasses|embarrassed|embarrassed|embarrassing|
|embrace|embraces|embraced|embraced|embracing|
|emerge|emerges|emerged|emerged|emerging|
|emphasize|emphasizes|emphasized|emphasized|emphasizing|
|employ|employs|employed|employed|employing|
|empower|empowers|empowered|empowered|empowering|
|empty|empties|emptied|emptied|emptying|
|enable|enables|enabled|enabled|enabling|
|enclose|encloses|enclosed|enclosed|enclosing|
|encounter|encounters|encountered|encountered|encountering|
|encourage|encourages|encouraged|encouraged|encouraging|
|end|ends|ended|ended|ending|
|endorse|endorses|endorsed|endorsed|endorsing|
|endure|endures|endured|endured|enduring|
|enforce|enforces|enforced|enforced|enforcing|
|engage|engages|engaged|engaged|engaging|
|enhance|enhances|enhanced|enhanced|enhancing|
|enjoy|enjoys|enjoyed|enjoyed|enjoying|
|enlarge|enlarges|enlarged|enlarged|enlarging|
|enlighten|enlightens|enlightened|enlightened|enlightening|
|enlist|enlists|enlisted|enlisted|enlisting|
|ensure|ensures|ensured|ensured|ensuring|
|enter|enters|entered|entered|entering|
|entertain|entertains|entertained|entertained|entertaining|
|entitle|entitles|entitled|entitled|entitling|
|entreat|entreats|entreated|entreated|entreating|
|entrust|entrusts|entrusted|entrusted|entrusting|
|enumerate|enumerates|enumerated|enumerated|enumerating|
|envision|envisions|envisioned|envisioned|envisioning|
|envy|envies|envied|envied|envying|
|equal|equals|equaled|equaled|equaling|
|equip|equips|equipped|equipped|equipping|
|erase|erases|erased|erased|erasing|
|erect|erects|erected|erected|erecting|
|err|errs|erred|erred|erring|
|escape|escapes|escaped|escaped|escaping|
|escort|escorts|escorted|escorted|escorting|
|establish|establishes|established|established|establishing|
|estimate|estimates|estimated|estimated|estimating|
|evaluate|evaluates|evaluated|evaluated|evaluating|
|evaporate|evaporates|evaporated|evaporated|evaporating|
|even|evens|evened|evened|evening|
|examine|examines|examined|examined|examining|
|exceed|exceeds|exceeded|exceeded|exceeding|
|exchange|exchanges|exchanged|exchanged|exchanging|
|excite|excites|excited|excited|exciting|
|exclude|excludes|excluded|excluded|excluding|
|excuse|excuses|excused|excused|excusing|
|execute|executes|executed|executed|executing|
|exercise|exercises|exercised|exercised|exercising|
|exhaust|exhausts|exhausted|exhausted|exhausting|
|exhibit|exhibits|exhibited|exhibited|exhibiting|
|exist|exists|existed|existed|existing|
|expand|expands|expanded|expanded|expanding|
|expect|expects|expected|expected|expecting|
|expedite|expedites|expedited|expedited|expediting|
|expel|expels|expelled|expelled|expelling|
|expend|expends|expended|expended|expending|
|experience|experiences|experienced|experienced|experiencing|
|experiment|experiments|experimented|experimented|experimenting|
|expire|expires|expired|expired|expiring|
|explain|explains|explained|explained|explaining|
|explode|explodes|exploded|exploded|exploding|
|explore|explores|explored|explored|exploring|
|export|exports|exported|exported|exporting|
|expose|exposes|exposed|exposed|exposing|
|express|expresses|expressed|expressed|expressing|
|extend|extends|extended|extended|extending|
|extinguish|extinguishes|extinguished|extinguished|extinguishing|
|extract|extracts|extracted|extracted|extracting|
|face|faces|faced|faced|facing|
|facilitate|facilitates|facilitated|facilitated|facilitating|
|fade|fades|faded|faded|fading|
|fail|fails|failed|failed|failing|
|faint|faints|fainted|fainted|fainting|
|fall|falls|fell|fallen|falling|
|falsify|falsifies|falsified|falsified|falsifying|
|familiarize|familiarizes|familiarized|familiarized|familiarizing|
|fancy|fancies|fancied|fancied|fancying|
|fascinate|fascinates|fascinated|fascinated|fascinating|
|fasten|fastens|fastened|fastened|fastening|
|favor|favors|favored|favored|favoring|
|fear|fears|feared|feared|fearing|
|feature|features|featured|featured|featuring|
|feed|feeds|fed|fed|feeding|
|feel|feels|felt|felt|feeling|
|fence|fences|fenced|fenced|fencing|
|fetch|fetches|fetched|fetched|fetching|
|fight|fights|fought|fought|fighting|
|figure|figures|figured|figured|figuring|
|file|files|filed|filed|filing|
|fill|fills|filled|filled|filling|
|film|films|filmed|filmed|filming|
|finalize|finalizes|finalized|finalized|finalizing|
|finance|finances|financed|financed|financing|
|find|finds|found|found|finding|
|fine|fines|fined|fined|fining|
|finish|finishes|finished|finished|finishing|
|fire|fires|fired|fired|firing|
|fit|fits|fit|fit|fitting|
|fix|fixes|fixed|fixed|fixing|
|flash|flashes|flashed|flashed|flashing|
|flatten|flattens|flattened|flattened|flattening|
|flavor|flavors|flavored|flavored|flavoring|
|flee|flees|fled|fled|fleeing|
|float|floats|floated|floated|floating|
|flood|floods|flooded|flooded|flooding|
|flow|flows|flowed|flowed|flowing|
|fluctuate|fluctuates|fluctuated|fluctuated|fluctuating|
|flush|flushes|flushed|flushed|flushing|
|fly|flies|flew|flown|flying|
|focus|focuses|focused|focused|focusing|
|fold|folds|folded|folded|folding|
|follow|follows|followed|followed|following|
|fool|fools|fooled|fooled|fooling|
|forbid|forbids|forbade|forbidden|forbidding|
|force|forces|forced|forced|forcing|
|forecast|forecasts|forecast|forecast|forecasting|
|foresee|foresees|foresaw|foreseen|foreseeing|
|forget|forgets|forgot|forgotten|forgetting|
|forgive|forgives|forgave|forgiven|forgiving|
|form|forms|formed|formed|forming|
|formulate|formulates|formulated|formulated|formulating|
|forsake|forsakes|forsook|forsaken|forsaking|
|found|founds|founded|founded|founding|
|frame|frames|framed|framed|framing|
|free|frees|freed|freed|freeing|
|freeze|freezes|froze|frozen|freezing|
|frighten|frightens|frightened|frightened|frightening|
|fulfill|fulfills|fulfilled|fulfilled|fulfilling|
|function|functions|functioned|functioned|functioning|
|fund|funds|funded|funded|funding|
|furnish|furnishes|furnished|furnished|furnishing|
|further|furthers|furthered|furthered|furthering|
|fuse|fuses|fused|fused|fusing|
|gain|gains|gained|gained|gaining|
|gamble|gambles|gambled|gambled|gambling|
|garden|gardens|gardened|gardened|gardening|
|gasp|gasps|gasped|gasped|gasping|
|gather|gathers|gathered|gathered|gathering|
|gaze|gazes|gazed|gazed|gazing|
|generate|generates|generated|generated|generating|
|get|gets|got|got/gotten|getting|
|give|gives|gave|given|giving|
|glance|glances|glanced|glanced|glancing|
|glare|glares|glared|glared|glaring|
|glide|glides|glided|glided|gliding|
|glimpse|glimpses|glimpsed|glimpsed|glimpsing|
|glitter|glitters|glittered|glittered|glittering|
|glow|glows|glowed|glowed|glowing|
|go|goes|went|gone|going|
|govern|governs|governed|governed|governing|
|grab|grabs|grabbed|grabbed|grabbing|
|grade|grades|graded|graded|grading|
|graduate|graduates|graduated|graduated|graduating|
|grant|grants|granted|granted|granting|
|grasp|grasps|grasped|grasped|grasping|
|grate|grates|grated|grated|grating|
|greet|greets|greeted|greeted|greeting|
|grieve|grieves|grieved|grieved|grieving|
|grind|grinds|ground|ground|grinding|
|grip|grips|gripped|gripped|gripping|
|groan|groans|groaned|groaned|groaning|
|grow|grows|grew|grown|growing|
|guarantee|guarantees|guaranteed|guaranteed|guaranteeing|
|guard|guards|guarded|guarded|guarding|
|guess|guesses|guessed|guessed|guessing|
|guide|guides|guided|guided|guiding|
|handle|handles|handled|handled|handling|
|hang|hangs|hung|hung|hanging|
|happen|happens|happened|happened|happening|
|harass|harasses|harassed|harassed|harassing|
|harm|harms|harmed|harmed|harming|
|harvest|harvests|harvested|harvested|harvesting|
|hatch|hatches|hatched|hatched|hatching|
|hate|hates|hated|hated|hating|
|haunt|haunts|haunted|haunted|haunting|
|have|has|had|had|having|
|head|heads|headed|headed|heading|
|heal|heals|healed|healed|healing|
|heap|heaps|heaped|heaped|heaping|
|hear|hears|heard|heard|hearing|
|heat|heats|heated|heated|heating|
|heave|heaves|heaved|heaved|heaving|
|help|helps|helped|helped|helping|
|hesitate|hesitates|hesitated|hesitated|hesitating|
|hide|hides|hid|hidden|hiding|
|highlight|highlights|highlighted|highlighted|highlighting|
|hike|hikes|hiked|hiked|hiking|
|hinder|hinders|hindered|hindered|hindering|
|hint|hints|hinted|hinted|hinting|
|hire|hires|hired|hired|hiring|
|hit|hits|hit|hit|hitting|
|hoard|hoards|hoarded|hoarded|hoarding|
|hold|holds|held|held|holding|
|honor|honors|honored|honored|honoring|
hook|hooks|hooked|hooked|hooking|
|hope|hopes|hoped|hoped|hoping|
